name	x	y	z	size	group	type
G17	-20.707277	-98.357238	34.581967	n/a	G	grid
G18	-28.251700	-96.649479	33.447469	n/a	G	grid
G19	-37.307441	-91.847549	31.535456	n/a	G	grid
G20	-47.664153	-83.726894	28.785596	n/a	G	grid
G21	-58.194429	-71.221155	25.027976	n/a	G	grid
G22	-66.813933	-54.997007	20.569121	n/a	G	grid
G23	-71.370970	-37.667757	16.167286	n/a	G	grid
G24	-71.933417	-22.743406	12.599708	n/a	G	grid
G25	-17.861838	-95.766024	45.531678	n/a	G	grid
G26	-24.981439	-93.260058	45.796302	n/a	G	grid
G27	-33.781455	-88.200383	45.400711	n/a	G	grid
G28	-44.306911	-80.320221	44.227085	n/a	G	grid
G29	-55.247410	-67.197556	41.042625	n/a	G	grid
G30	-64.785393	-50.679038	36.224726	n/a	G	grid
G31	-70.323859	-33.114444	30.204748	n/a	G	grid
G32	-71.563028	-18.228659	24.401109	n/a	G	grid
G33	-15.269489	-88.023626	55.068718	n/a	G	grid
G34	-21.547180	-85.443279	57.022627	n/a	G	grid
G35	-29.612555	-80.631206	58.598183	n/a	G	grid
G36	-39.342376	-71.580674	58.424268	n/a	G	grid
G37	-50.059091	-59.073074	56.603065	n/a	G	grid
G38	-58.969980	-42.410277	51.054434	n/a	G	grid
G39	-65.145741	-26.173604	44.178113	n/a	G	grid
G40	-66.657857	-12.647996	36.317633	n/a	G	grid
G41	-12.618723	-80.769628	64.615483	n/a	G	grid
G42	-18.214151	-77.061005	67.545604	n/a	G	grid
G43	-25.463723	-69.892291	68.894380	n/a	G	grid
G44	-34.112280	-60.928228	70.064189	n/a	G	grid
G45	-43.429399	-48.054097	68.045518	n/a	G	grid
G46	-50.910819	-32.498751	61.121735	n/a	G	grid
G47	-57.819190	-18.839109	55.463108	n/a	G	grid
G48	-60.877768	-7.206795	47.317710	n/a	G	grid
G49	-10.371189	-72.524054	72.930145	n/a	G	grid
G50	-15.614036	-66.292127	74.630555	n/a	G	grid
G51	-21.677091	-60.471283	78.715581	n/a	G	grid
G52	-29.239160	-49.393994	77.345238	n/a	G	grid
G53	-37.012073	-37.058515	74.326582	n/a	G	grid
G54	-44.387776	-24.417037	69.927644	n/a	G	grid
G55	-50.084806	-12.488548	63.008506	n/a	G	grid
G56	-53.755991	-2.809423	55.410035	n/a	G	grid
G57	-9.690814	-61.160238	76.290053	n/a	G	grid
G58	-13.457530	-56.687668	80.732158	n/a	G	grid
G59	-19.144604	-47.900605	80.248007	n/a	G	grid
G60	-25.287851	-38.774958	80.558495	n/a	G	grid
G61	-31.769282	-27.956038	77.123627	n/a	G	grid
G62	-38.044803	-17.416353	73.681865	n/a	G	grid
G63	-43.049643	-7.705830	67.181022	n/a	G	grid
G64	-46.981458	0.375142	61.260694	n/a	G	grid
AF1	-27.855894	71.175328	6.046881	n/a	AF	strip
AF2	-32.459543	65.786211	10.968811	n/a	AF	strip
AF3	-38.001008	62.620643	16.526209	n/a	AF	strip
AF4	-43.681363	54.319118	22.781919	n/a	AF	strip
AF5	-49.475312	44.268605	29.337731	n/a	AF	strip
AF6	-53.835157	30.703393	34.934444	n/a	AF	strip
AF7	-56.332852	16.409351	38.861827	n/a	AF	strip
AF8	-60.792719	5.747459	44.231564	n/a	AF	strip
SO1	-11.712242	-82.131377	-18.317174	n/a	SO	strip
SO2	-4.150535	-81.085159	-9.459663	n/a	SO	strip
SO3	0.115255	-81.850446	0.890773	n/a	SO	strip
SO4	2.127650	-85.134142	10.731873	n/a	SO	strip
SO5	0.093008	-82.601413	21.429471	n/a	SO	strip
SO6	-1.369856	-84.457564	35.304599	n/a	SO	strip
SO7	-5.152596	-82.500671	45.221537	n/a	SO	strip
SO8	-11.570474	-79.562601	53.337648	n/a	SO	strip
IO1	-7.034729	-102.531073	-26.893301	n/a	IO	strip
IO2	0.846056	-101.339808	-21.633545	n/a	IO	strip
IO3	7.775535	-100.627004	-10.198842	n/a	IO	strip
IO4	7.552674	-102.054088	4.124678	n/a	IO	strip
IO5	5.946768	-105.178151	16.407707	n/a	IO	strip
IO6	0.662579	-103.457083	26.865312	n/a	IO	strip
IO7	-9.517081	-101.396725	32.340316	n/a	IO	strip
IO8	-20.859747	-98.523400	33.142369	n/a	IO	strip
PT1	-25.033890	-108.078509	10.533950	n/a	PT	grid
PT2	-31.960380	-105.066941	7.814402	n/a	PT	grid
PT3	-39.640185	-97.807349	4.876307	n/a	PT	grid
PT4	-48.081130	-90.337998	1.564903	n/a	PT	grid
PT5	-55.909837	-79.022529	-1.290727	n/a	PT	grid
PT6	-63.304989	-67.158066	-3.912097	n/a	PT	grid
PT7	-68.593630	-53.736374	-5.475723	n/a	PT	grid
PT8	-72.176587	-40.891273	-6.207944	n/a	PT	grid
PT9	-22.326125	-102.342255	24.287114	n/a	PT	grid
PT10	-29.713780	-101.009725	21.709276	n/a	PT	grid
PT11	-37.843926	-94.264510	18.575514	n/a	PT	grid
PT12	-47.010152	-88.371054	15.274101	n/a	PT	grid
PT13	-55.955329	-78.478232	11.704537	n/a	PT	grid
PT14	-63.917795	-66.457964	8.220804	n/a	PT	grid
PT15	-69.347475	-52.883247	5.292182	n/a	PT	grid
PT16	-73.878371	-41.087054	2.633101	n/a	PT	grid
AT1	-27.978402	18.743161	-49.973105	n/a	AT	grid
AT2	-34.219047	18.711137	-49.183822	n/a	AT	grid
AT3	-42.124521	18.092426	-47.118530	n/a	AT	grid
AT4	-51.289960	15.957191	-42.011560	n/a	AT	grid
AT5	-59.936191	11.396259	-32.292415	n/a	AT	grid
AT6	-66.584958	5.288930	-19.803471	n/a	AT	grid
AT7	-71.358150	-0.913147	-7.315112	n/a	AT	grid
AT8	-73.515368	-6.792541	4.310208	n/a	AT	grid
AT9	-28.448256	7.411049	-54.286946	n/a	AT	grid
AT10	-35.156829	5.938041	-53.940434	n/a	AT	grid
AT11	-43.352978	3.846855	-52.707576	n/a	AT	grid
AT12	-52.251983	0.275549	-47.429314	n/a	AT	grid
AT13	-61.207530	-4.278978	-39.194985	n/a	AT	grid
AT14	-69.144894	-9.417468	-28.524228	n/a	AT	grid
AT15	-75.493907	-14.531834	-16.887722	n/a	AT	grid
AT16	-74.839649	-18.725408	-3.569127	n/a	AT	grid
